2133	0.73	5.58	0.00	0.95	3.08	48.75	67.30	53.25	0.25	24.85	3.29	1.90	6.82	57.88	56.94	3.86	2.00	50.24	17.17	0.79	0.70	0.00	0.18	1.29	12.77	21.14	13.20	0.18	7.66	1.57	0.72	1.24	13.94	13.87	0.73	0.21	12.74	7.47	31195	-38.61	0.1335	0.0222
2146	0.30	5.18	0.00	0.98	2.57	44.77	63.53	49.10	0.74	23.73	2.86	1.46	6.00	50.52	49.62	3.18	1.95	46.23	14.80	0.16	0.39	0.00	0.44	0.74	12.49	10.37	11.85	0.64	8.20	0.32	0.35	1.65	13.54	13.25	0.78	0.21	10.89	6.05	31767	-37.53	0.1557	0.0253
2233	0.37	4.79	0.00	1.21	3.10	66.28	78.12	84.34	0.20	37.62	2.78	2.02	8.35	73.70	72.27	3.87	1.77	79.79	29.55	0.10	0.96	0.00	0.26	0.21	13.97	7.60	13.74	0.05	8.65	0.47	0.45	1.54	11.22	11.24	1.19	0.05	13.20	8.86	37206	-40.61	0.1003	0.0137
2283	0.26	11.40	0.00	18.78	1.87	65.76	63.34	69.66	1.49	24.40	14.93	1.22	5.68	44.52	43.59	2.78	2.80	66.70	17.39	0.13	5.17	0.00	32.47	1.14	21.55	9.74	19.28	2.11	9.56	19.97	0.51	2.50	25.88	25.54	1.69	0.76	18.85	5.96	40719	-38.79	0.1301	0.0160
2289	0.25	5.22	0.04	1.00	3.03	53.33	70.23	84.75	0.55	27.85	5.70	1.75	8.18	67.52	66.46	4.87	1.92	81.38	18.01	0.04	0.91	0.09	0.26	0.45	10.22	9.19	17.95	0.37	5.51	1.61	0.16	0.83	6.51	6.47	0.75	0.13	18.12	5.44	41100	-39.35	0.1201	0.0145
2300	0.41	8.20	0.00	1.52	2.82	37.90	59.72	103.05	0.44	20.37	5.42	1.67	7.33	43.72	42.94	4.91	1.87	100.58	13.40	0.25	1.88	0.00	0.42	1.72	6.49	17.15	40.99	0.37	3.60	2.13	0.51	1.45	13.52	13.42	1.26	0.10	40.97	2.67	41835	-38.29	0.1397	0.0165
2311	0.26	9.12	0.00	5.73	2.83	30.05	59.23	54.68	3.84	17.05	6.73	3.59	4.89	28.93	28.28	2.87	1.76	52.62	12.22	0.20	1.20	0.00	6.48	1.02	3.34	12.64	24.98	2.62	1.66	3.67	4.71	1.45	6.89	6.88	1.51	0.09	24.92	1.76	42470	-36.91	0.1701	0.0196
2321	0.21	5.83	0.00	0.94	2.49	35.30	56.45	100.13	0.20	19.55	2.54	1.57	5.29	37.10	36.36	2.97	1.85	97.77	12.34	0.08	1.67	0.00	0.18	0.95	7.47	12.39	99.14	0.21	4.75	0.84	0.24	1.47	6.38	6.30	1.20	0.31	98.76	4.35	43037	-36.47	0.1812	0.0204
2333	0.87	6.36	0.00	2.38	1.69	78.62	74.83	209.83	0.72	57.93	4.71	7.05	21.47	281.67	279.46	14.57	1.36	202.82	35.20	0.26	1.53	0.00	0.28	0.20	11.39	9.68	42.28	0.16	8.62	0.36	0.79	3.97	50.39	50.09	2.97	0.04	41.40	5.21	43951	-39.91	0.1108	0.0121
2344	0.52	5.97	0.00	2.52	2.49	66.17	73.85	87.08	0.72	39.98	4.56	3.13	9.30	81.30	79.78	4.55	1.66	82.25	28.19	0.23	0.42	0.00	0.55	0.53	17.38	12.70	13.79	0.37	10.67	1.28	0.49	1.53	19.52	19.29	1.06	0.10	12.72	9.40	44969	-39.93	0.1105	0.0118
2355	0.51	8.19	0.00	0.97	3.25	63.18	68.22	88.48	1.07	32.04	4.83	2.21	9.54	85.98	84.76	5.73	1.98	84.60	22.12	0.10	2.62	0.00	0.17	0.35	12.65	5.44	12.13	0.67	7.03	1.51	0.30	1.26	10.73	10.51	0.67	0.09	11.50	6.06	45828	-39.38	0.1196	0.0124
2366	0.36	6.36	0.00	2.52	2.66	54.42	71.55	67.93	0.54	32.17	4.62	2.71	7.25	61.10	59.88	3.42	1.83	64.04	23.66	0.10	0.77	0.00	1.56	0.46	11.67	8.92	12.79	0.20	12.12	0.84	0.19	0.89	11.92	11.58	0.94	0.50	12.17	10.94	46741	-38.86	0.1288	0.0130
2377	0.24	6.39	0.00	3.38	2.30	46.85	70.85	63.77	1.51	25.68	6.88	1.97	5.86	38.77	37.79	2.80	1.84	60.66	19.83	0.13	1.56	0.00	5.03	0.48	5.89	8.56	16.32	2.59	4.29	4.38	0.34	0.78	4.98	4.90	0.64	0.15	16.11	3.99	47652	-39.13	0.1239	0.0122
2388	0.19	7.75	0.00	2.29	3.56	47.00	72.35	48.80	0.35	21.57	5.23	1.36	6.10	50.17	49.34	3.53	2.19	46.19	13.38	0.07	0.76	0.00	1.69	0.41	6.22	5.75	7.94	0.35	3.22	2.03	0.26	0.64	5.85	5.80	0.48	0.15	7.82	2.93	48513	-38.97	0.1268	0.0122
2399	0.24	9.64	0.00	3.86	3.13	32.58	67.73	42.48	0.49	19.38	6.26	1.66	4.61	29.78	29.05	2.30	1.70	40.14	14.28	0.04	1.41	0.00	1.98	0.96	4.76	10.84	7.33	0.33	3.58	3.29	0.31	0.79	7.09	6.96	0.47	0.14	7.00	2.45	49325	-37.92	0.1473	0.0137
2410	0.15	9.18	0.00	1.89	2.48	31.10	63.22	39.38	0.31	18.90	3.96	1.42	3.93	23.08	22.37	1.68	1.65	37.10	14.88	0.02	1.22	0.00	1.28	0.65	4.30	5.79	5.27	0.33	2.65	2.04	0.30	0.38	2.89	2.86	0.32	0.04	5.30	2.53	50157	-37.60	0.1542	0.0140
2413	0.14	14.62	0.16	32.91	2.73	36.62	74.94	43.09	2.50	19.47	18.76	1.39	5.73	40.19	39.45	3.42	1.93	40.73	11.98	0.05	8.67	0.45	86.67	0.70	9.43	21.02	10.24	5.12	6.12	40.06	0.50	1.07	6.84	6.83	1.03	0.21	10.02	6.19	50393	-37.31	0.1607	0.0144
2421	0.11	5.27	0.00	0.73	2.42	32.88	59.53	90.75	0.03	16.82	3.48	1.05	6.55	36.12	35.48	4.55	2.00	88.71	11.66	0.04	0.96	0.00	0.29	1.01	4.71	6.27	79.86	0.04	3.47	1.35	0.21	3.85	10.43	10.37	3.74	0.26	79.76	3.14	50911	-36.13	0.1902	0.0168
2431	101.12	7.24	0.00	5.46	2.11	210.23	75.79	1194.22	1.10	166.59	8.55	33.44	37.57	484.24	477.91	17.74	1.64	1174.06	97.37	278.21	2.60	0.00	6.17	1.03	355.15	24.10	2726.09	1.17	337.27	4.06	53.71	64.59	995.71	982.90	24.62	0.48	2685.34	195.05	52050	-40.46	0.10









25	0.0088
2432	0.22	8.23	0.00	2.92	2.21	33.62	60.37	47.12	0.53	19.02	5.21	1.47	4.74	29.10	28.38	2.48	1.80	44.82	14.21	0.05	0.50	0.00	4.38	0.51	6.58	7.73	11.35	0.62	5.05	4.10	0.40	0.59	3.85	3.73	0.72	0.17	11.00	4.69	52162	-37.45	0.1575	0.0135
2443	0.40	6.90	0.00	3.80	2.89	58.02	77.60	102.22	1.35	29.02	8.09	3.14	10.52	97.82	96.87	7.57	1.96	99.21	10.24	0.15	2.56	0.00	6.04	0.84	8.56	13.23	29.57	0.63	5.77	4.16	0.13	1.10	8.85	8.57	2.00	0.13	30.29	9.46	53211	-39.26	0.1216	0.0101
2454	0.21	6.13	0.00	2.65	2.64	44.08	72.95	78.07	0.38	23.82	5.90	1.93	8.10	62.45	61.55	5.26	1.86	75.19	13.93	0.07	2.16	0.00	1.97	0.61	4.79	16.68	41.50	0.24	2.43	1.58	0.30	1.27	7.55	7.51	1.18	0.16	41.41	2.20	54206	-38.67	0.1323	0.0107
2465	0.69	4.87	0.00	3.31	2.05	83.40	84.57	182.50	0.64	44.13	6.78	4.97	20.35	265.17	263.49	15.10	1.89	177.16	16.03	0.27	1.84	0.00	2.04	0.17	13.40	6.37	39.98	0.27	7.81	1.06	0.57	2.52	36.22	35.99	1.79	0.06	39.09	5.35	55174	-40.34	0.1042	0.0081
2476	0.25	7.10	0.03	4.29	2.65	31.17	58.95	44.47	0.88	17.48	5.00	1.42	5.05	38.40	37.74	2.97	1.81	42.35	11.44	0.18	0.85	0.06	5.80	0.92	4.00	9.65	10.05	0.86	3.47	4.36	0.07	0.66	12.55	12.55	0.49	0.16	9.91	4.05	56202	-36.28	0.1862	0.0141
2487	1.71	7.48	0.00	3.39	2.75	102.97	81.92	293.50	0.99	58.45	7.12	6.63	31.60	416.17	413.94	24.65	1.77	286.43	13.53	0.21	0.60	0.00	0.66	0.22	9.83	5.76	32.40	0.28	7.33	0.72	0.67	3.80	60.64	60.44	3.24	0.07	32.07	5.19	57622	-39.02	0.1259	0.0092
2498	1.15	9.36	0.00	3.23	2.45	97.77	76.93	271.00	1.66	59.37	6.74	7.17	35.22	525.17	522.91	28.15	1.65	263.82	15.14	0.23	1.21	0.00	0.69	0.23	12.85	6.87	64.86	0.53	8.66	1.14	0.67	5.04	109.57	109.28	4.08	0.09	63.89	4.15	59340	-41.34	0.0904	0.0064
2509	1.11	9.90	0.00	4.44	2.74	100.83	82.18	248.50	1.89	61.67	7.12	6.93	39.38	537.00	534.65	32.05	1.64	241.04	14.48	0.14	1.84	0.00	2.33	0.38	17.06	10.19	57.43	0.79	11.45	1.70	1.43	5.58	84.10	83.79	4.58	0.07	56.67	8.11	60767	-42.01	0.0821	0.0057
2520	1.00	6.45	0.00	2.32	2.59	94.05	71.02	209.83	2.03	59.30	5.57	6.58	35.60	451.17	448.91	28.54	1.59	202.66	23.50	0.26	1.67	0.00	0.45	0.16	5.31	3.73	12.69	0.52	2.70	0.76	0.80	4.13	43.23	43.19	4.14	0.06	12.42	3.69	62652	-41.29	0.0910	0.0061
2531	1.12	8.99	0.00	3.05	3.53	79.82	69.18	198.17	1.98	47.37	5.45	5.45	29.28	340.17	338.37	23.65	1.69	192.43	18.36	0.25	0.99	0.00	1.34	0.35	8.45	5.82	26.80	2.03	6.41	0.79	0.39	2.90	44.78	44.62	2.52	0.06	26.52	4.98	64594	-41.51	0.0882	0.0057
2542	0.68	5.94	0.00	1.70	3.93	50.47	61.12	83.85	1.24	28.05	4.90	3.14	11.05	99.33	98.27	7.71	1.83	80.46	14.59	0.16	0.78	0.00	0.95	0.31	5.67	9.29	16.31	0.53	5.14	2.19	1.08	0.52	4.71	4.83	0.63	0.17	15.87	5.58	66449	-40.58	0.1007	0.0063
2544	0.37	9.28	0.00	1.86	3.47	32.19	54.65	51.74	0.77	15.63	3.98	1.27	5.44	40.32	39.72	3.58	2.07	49.85	9.23	0.37	1.04	0.00	1.79	0.64	4.91	4.76	19.28	0.36	2.36	2.14	0.20	0.85	9.27	9.23	0.73	0.21	19.15	2.11	66830	-38.53	0.1350	0.0083
2545	0.26	9.87	0.00	2.59	3.73	33.11	58.09	51.29	1.38	16.96	4.05	1.19	5.55	47.17	46.52	3.53	1.97	49.24	9.64	0.09	1.24	0.00	3.39	0.63	6.43	6.58	14.15	0.87	3.89	2.05	0.21	0.96	9.52	9.42	0.78	0.19	13.86	3.09	66896	-38.21	0.1413	0.0087
2545	0.17	8.28	0.00	0.98	3.28	34.34	53.78	52.16	0.67	18.98	3.40	1.81	6.32	44.18	43.46	4.06	1.82	49.86	11.99	0.04	1.12	0.00	0.15	1.18	3.36	10.36	16.84	0.26	2.58	0.58	0.42	1.52	5.45	5.41	1.70	0.15	16.91	2.39	66959	-38.38	0.1379	0.0085
2553	0.12	8.47	0.00	2.59	3.67	25.50	54.18	34.77	0.57	11.67	3.63	0.75	4.16	40.70	40.26	2.77	2.20	33.35	3.70	0.03	0.67	0.00	1.10	0.66	2.40	5.57	11.67	0.38	1.59	1.68	0.11	0.66	3.97	3.93	0.64	0.12	11.62	1.10	67754	-37.22	0.1628	0.0098
2564	0.98	8.44	0.00	3.42	2.65	66.20	75.70	171.00	2.52	44.25	6.35	5.92	35.18	445.50	443.82	29.92	1.50	165.65	19.47	0.08	0.62	0.00	0.30	0.15	5.15	5.32	12.04	0.67	4.36	0.71	0.72	7.26	64.33	64.28	7.12	0.06	11.68	4.56	69482	-42.89	0.0724	0.0042
2575	0.16	6.68	0.00	1.31	3.16	24.68	60.65	44.85	0.90	13.57	4.85	1.45	4.07	29.92	29.40	2.45	1.86	43.21	8.51	0.04	0.67	0.00	0.74	0.52	2.21	1.94	9.07	0.65	3.08	1.70	0.43	0.62	6.67	6.63	0.35	0.20	9.06	2.92	71148	-38.08	0.1440	0.0080
2586	0.24	6.35	0.00	1.46	3.00	28.85	52.28	47.98	0.76	15.68	4.33	1.30	5.02	42.83	42.24	3.15	1.84	46.09	12.01	0.08	1.82	0.00	0.75	0.34	3.41	1.93	16.12	0.60	1.60	1.57	0.31	1.23	15.14	15.10	1.10	0.12	16.00	1.18	72395	-37.22	0.1628	0.0087
2597	0.41	10.52	0.02	4.69	3.27	30.48	68.33	54.98	1.34	17.17	5.80	1.62	6.23	48.83	48.18	4.19	1.79	52.90	10.41	0.27	2.43	0.04	6.37	0.79	2.85	10.43	14.44	1.25	2.10	4.03	0.25	0.85	12.06	12.01	0.80	0.17	14.39	1.73	74510	-38.97	0.1268	0.0066
2608	0.27	10.56	0.00	5.99	2.17	26.50	61.50	48.63	1.66	12.29	6.30	1.30	5.04	50.10	49.63	3.57	2.31	47.15	4.63	0.30	3.14	0.00	4.53	0.30	2.94	4.81	22.05	0.35	3.14	2.41	0.35	1.57	13.99	13.87	1.22	0.71	21.84	1.08	76172	-38.45	0.1365	0.0068
2619	0.24	10.74	0.00	2.42	2.17	22.50	73.22	38.82	2.08	9.95	7.38	1.15	3.92	20.45	20.07	2.73	2.29	37.62	6.41	0.07	2.02	0.00	0.81	0.38	3.04	2.98	3.37	0.58	1.92	1.53	0.10	0.60	7.74	7.77	0.58	0.22	3.43	2.70	77736	-37.14	0.1646	0.0079
2630	0.10	13.70	0.00	5.90	2.11	21.25	72.05	47.05	2.59	10.63	10.68	1.53	4.47	26.90	26.50	3.20	2.01	45.76	5.62	0.03	2.25	0.00	3.90	0.68	1.90	8.06	18.47	0.91	1.06	4.90	0.27	1.86	4.18	4.21	1.85	0.12	18.46	1.64	79185	-37.20	0.1632	0.0075
2641	0.17	11.01	0.00	13.12	2.23	20.95	71.05	44.25	2.59	9.70	14.67	1.47	3.58	18.90	18.53	2.43	2.24	43.08	6.04	0.05	1.72	0.00	8.39	1.02	2.04	4.35	7.87	0.52	2.28	5.76	0.19	0.68	5.02	4.94	0.59	0.35	7.63	1.42	80602	-36.50	0.1804	0.0079
2652	0.37	7.08	0.00	5.38	2.60	49.90	80.13	93.90	2.13	27.03	9.74	3.47	12.98	140.45	139.42	9.77	1.85	90.63	6.97	0.13	2.11	0.00	4.35	0.75	3.03	8.09	17.32	0.32	2.62	2.27	0.20	3.09	66.65	66.63	3.09	0.09	17.13	9.50	82062	-38.52	0.1352	0.0057
2663	0.78	6.00	0.00	2.18	2.55	65.38	71.27	188.50	2.46	41.40	6.40	4.17	20.18	205.68	204.11	15.26	1.59	183.49	21.04	0.16	1.58	0.00	0.68	0.59	6.43	5.99	46.75	0.36	5.08	0.53	0.31	1.82	86.93	86.94	1.31	0.07	46.51	10.19	84302	-40.50	0.1019	0.0041
2668	0.15	10.53	0.00	7.12	4.10	29.68	67.22	43.60	2.78	16.17	8.12	2.77	4.83	36.62	36.01	2.90	1.84	41.64	10.35	0.04	2.91	0.00	9.65	1.75	2.24	7.03	4.35	1.77	1.05	3.16	1.45	1.23	14.63	14.63	1.19	0.15	4.33	2.35	85480	-38.48	0.1360	0.0054
2669	0.23	9.56	0.00	5.76	2.81	28.83	63.52	63.39	2.26	14.40	7.98	1.54	5.89	36.50	35.95	4.18	2.00	61.64	8.61	0.17	1.45	0.00	4.17	1.28	3.25	5.61	40.41	1.22	1.22	3.82	0.32	3.49	5.87	5.89	3.51	0.16	40.42	1.77	85583	-38.19	0.1417	0.0056
2669	0.19	8.55	0.00	2.96	3.20	28.44	65.28	44.28	1.65	13.28	6.93	1.25	4.35	39.56	39.05	2.77	2.14	42.67	6.78	0.07	0.71	0.00	1.29	0.74	1.49	3.87	12.48	0.80	0.51	2.06	0.42	0.31	6.70	6.70	0.35	0.05	12.49	1.20	85681	-38.22	0.1411	0.0055
2673	0.15	13.48	0.00	6.56	3.33	24.53	64.22	34.47	2.09	11.90	7.24	1.04	3.33	26.65	26.20	1.91	2.08	33.03	7.45	0.04	5.02	0.00	7.85	0.55	1.87	1.53	5.02	1.16	1.41	3.93	0.26	0.21	1.00	0.97	0.12	0.13	4.94	1.31	86386	-37.57	0.1548	0.0060
2674	0.14	9.32	0.00	2.36	2.79	24.98	61.72	48.07	1.50	13.95	5.95	1.40	4.43	26.80	26.27	2.77	1.81	46.38	9.67	0.03	0.73	0.00	0.76	1.03	1.44	2.48	12.69	0.36	1.97	0.57	0.26	1.11	4.55	4.50	1.08	0.14	12.64	1.49	86478	-37.84	0.1490	0.0057
2685	0.15	7.61	0.00	1.53	3.32	32.77	65.30	49.90	1.13	17.03	4.78	1.60	5.15	36.00	35.35	3.12	1.92	47.84	11.97	0.03	2.43	0.00	1.61	0.38	1.09	2.27	9.35	0.34	0.70	1.02	0.29	0.68	7.48	7.47	0.65	0.07	9.28	0.92	88624	-39.13	0.1239	0.0046
2696	0.14	10.21	0.00	3.29	3.38	32.42	67.92	56.27	1.54	16.13	5.81	1.27	5.67	39.40	38.79	3.76	2.02	54.32	11.08	0.04	4.50	0.00	3.22	0.16	1.93	3.10	13.35	0.37	1.46	3.20	0.12	0.39	4.28	4.24	0.37	0.10	13.22	1.23	91224	-39.44	0.1185	0.0042
2696	0.42	7.54	0.00	2.11	2.75	38.07	60.93	58.78	2.02	13.63	4.79	1.12	5.69	30.53	30.02	4.07	2.79	57.13	9.89	0.24	1.32	0.00	0.98	0.73	11.91	6.93	19.46	1.10	1.33	2.07	0.28	3.24	3.94	3.91	3.16	0.81	19.36	1.22	91356	-39.55	0.1167	0.0041
2704	0.19	8.81	0.02	2.45	2.26	31.56	58.44	90.48	1.46	15.74	4.56	1.43	7.26	46.94	46.34	5.39	2.03	88.57	9.03	0.11	1.90	0.05	2.20	1.10	4.36	8.53	76.49	0.63	2.58	1.97	1.31	6.87	11.44	11.40	6.77	0.29	76.37	2.52	93209	-39.45	0.1184	0.0040
2707	0.09	9.99	0.00	2.29	3.09	26.98	65.73	44.73	1.59	13.90	6.43	1.30	4.07	28.57	28.04	2.41	1.95	43.05	9.73	0.01	2.95	0.00	0.97	0.33	1.98	3.28	6.27	0.21	1.57	0.92	0.08	0.36	3.02	2.99	0.45	0.11	6.08	1.43	93855	-38.97	0.1268	0.0042
2718	0.08	12.93	0.04	4.08	2.60	24.50	67.55	37.22	2.06	12.17	6.68	1.46	4.36	27.72	27.25	2.91	2.02	35.74	7.92	0.01	1.54	0.09	2.57	0.16	0.90	0.83	4.11	0.42	0.45	2.12	0.10	0.21	1.97	1.96	0.24	0.14	4.07	0.35	96432	-38.37	0.1381	0.0044
2729	0.21	11.63	0.00	6.88	2.57	23.07	68.58	44.72	2.01	11.53	7.99	1.21	4.04	27.95	27.51	2.67	2.00	43.32	6.78	0.03	0.64	0.00	5.51	0.67	1.00	2.29	6.58	0.56	0.64	3.54	0.30	0.78	5.55	5.53	0.72	0.09	6.55	0.80	98868	-37.69	0.1522	0.0046
2740	0.23	13.47	0.00	9.99	2.34	20.77	67.60	41.87	2.80	9.76	9.31	1.30	3.67	36.82	36.45	2.51	2.14	40.69	2.62	0.11	0.90	0.00	3.95	0.75	1.03	3.49	7.53	0.90	1.05	2.12	0.20	0.90	2.07	2.04	0.85	0.16	7.48	0.76	101148	-36.73	0.1746	0.0050
2751	0.18	12.73	0.00	16.73	1.98	17.42	67.03	32.25	3.48	8.41	14.48	1.69	3.00	32.43	32.11	2.00	2.10	31.23	1.83	0.06	1.39	0.00	6.11	0.44	1.67	1.99	4.77	0.50	1.08	4.42	0.23	1.37	3.85	3.85	1.39	0.28	4.76	1.26	103259	-36.45	0.1817	0.0049
2753	0.26	10.23	0.00	13.74	2.30	26.60	65.03	48.69	4.69	13.65	15.44	2.01	5.29	46.94	46.43	3.67	2.04	47.03	5.74	0.15	1.95	0.00	6.56	1.21	11.19	12.68	29.81	1.44	7.03	4.94	0.46	2.48	29.06	28.79	1.66	0.28	28.97	2.24	103772	-37.51	0.1562	0.0042
2753	0.23	9.00	0.00	4.83	2.89	29.83	64.00	47.05	2.04	14.50	8.53	1.46	6.08	49.22	48.66	4.35	2.04	45.30	7.86	0.05	1.67	0.00	1.80	0.98	6.46	8.01	5.98	0.95	2.40	2.51	0.64	1.28	15.33	15.24	1.07	0.12	5.71	0.97	103903	-37.81	0.1496	0.0040
2754	0.58	9.31	0.00	8.30	2.83	47.43	69.97	97.47	3.91	24.75	11.55	2.69	9.11	101.00	100.06	6.16	1.92	94.47	8.72	0.15	0.88	0.00	2.97	0.25	1.80	1.60	7.62	1.35	1.47	3.75	0.35	3.48	26.30	26.25	3.33	0.09	7.64	3.06	104040	-39.29	0.1211	0.0032
2762	0.15	9.08	0.00	2.38	2.84	21.50	55.62	49.08	1.23	11.65	4.36	1.14	5.09	24.43	23.99	3.70	1.85	47.67	7.39	0.04	1.43	0.00	0.52	0.82	0.68	1.85	16.72	0.37	0.66	0.29	0.11	1.70	2.73	2.71	1.69	0.09	16.71	0.42	105898	-37.55	0.1553	0.0040
2773	0.14	7.16	0.00	1.30	3.64	26.33	59.13	55.88	1.18	12.65	4.34	1.25	5.88	37.07	36.58	4.38	2.10	54.35	7.13	0.03	1.12	0.00	0.29	1.02	2.43	3.46	17.22	0.48	0.85	0.61	0.28	1.05	6.79	6.77	1.03	0.33	17.18	0.95	108869	-38.04	0.1448	0.0035
2784	0.15	9.06	0.00	1.85	2.62	30.03	59.88	50.68	1.74	15.25	4.55	1.90	6.02	50.87	50.29	4.21	1.97	48.84	7.69	0.01	1.41	0.00	0.68	0.45	0.56	2.69	4.29	0.87	0.78	0.75	0.12	0.69	3.29	3.28	0.74	0.09	4.30	0.81	112419	-38.83	0.1293	0.0029
2787	0.10	12.19	0.00	9.62	3.19	23.50	54.62	32.28	2.48	11.73	6.70	1.41	3.71	24.52	24.07	2.31	2.02	30.86	7.79	0.02	7.21	0.01	8.68	0.32	1.29	2.39	4.08	0.58	0.99	3.57	0.25	0.38	4.70	4.69	0.36	0.21	4.09	1.17	113640	-37.44	0.1577	0.0035
2795	0.06	10.91	0.00	10.16	1.94	11.06	50.93	30.35	1.63	5.12	4.74	0.76	2.37	8.72	8.53	1.77	2.16	29.74	2.97	0.03	2.60	0.00	1.14	0.26	1.17	4.89	3.27	0.22	0.28	0.17	0.18	0.22	0.49	0.49	0.21	0.16	3.24	0.35	115105	-34.11	0.2538	0.0054
2797	0.14	10.35	0.00	17.68	2.23	9.16	60.78	30.76	1.52	4.46	6.56	1.23	2.15	8.85	8.68	1.62	2.07	30.22	2.42	0.03	0.44	0.00	1.28	0.12	0.53	13.79	5.32	0.46	0.55	0.29	0.17	0.39	3.60	3.58	0.36	0.20	5.32	0.47	115493	-31.73	0.3566	0.0075
2797	0.41	8.84	0.00	12.02	2.26	30.01	71.63	73.38	1.90	16.33	8.18	2.22	8.83	92.60	91.98	6.89	1.97	71.41	-12.01	0.35	2.81	0.00	3.61	1.84	30.01	29.11	61.67	1.34	17.10	1.44	1.56	7.57	116.32	115.67	5.60	0.15	59.60	18.55	115566	-34.98	0.2242	0.0047
2798	0.11	11.25	0.00	15.03	1.63	8.58	51.87	29.38	1.12	3.94	6.41	0.82	2.30	6.78	6.64	1.83	2.18	28.91	2.12	0.02	1.16	0.00	1.08	0.71	0.30	4.40	6.47	0.27	0.19	0.32	0.16	0.91	1.16	1.16	0.91	0.10	6.47	0.37	115683	-31.82	0.3521	0.0074
2806	0.15	8.65	0.00	2.81	2.69	21.30	55.95	39.17	1.43	11.02	4.56	1.14	4.07	24.13	23.71	2.76	1.93	37.83	7.02	0.03	1.29	0.00	0.76	0.43	0.79	1.45	7.82	0.30	0.51	0.76	0.19	0.67	3.11	3.11	0.61	0.02	7.76	0.69	117338	-37.35	0.1598	0.0032
2815	0.21	8.65	0.00	6.59	2.27	12.73	48.52	29.28	2.19	6.96	4.41	1.08	2.97	22.93	22.67	2.14	1.82	28.44	1.73	0.12	1.14	0.00	2.33	0.26	2.15	0.94	4.70	0.81	1.05	0.49	0.19	0.61	6.78	6.75	0.53	0.08	4.58	0.90	119692	-34.78	0.2307	0.0043
2816	0.39	8.30	0.00	6.05	2.42	14.32	48.52	33.57	2.97	6.74	4.53	0.62	2.86	18.68	18.43	2.06	2.12	32.75	2.52	0.16	1.30	0.00	1.63	0.63	1.42	1.43	5.48	0.63	0.36	1.03	0.11	0.50	1.80	1.79	0.50	0.17	5.47	0.33	119818	-35.19	0.2175	0.0041
2817	0.47	8.84	0.00	5.31	2.71	13.16	47.98	33.54	2.96	6.90	3.82	0.56	2.87	19.34	19.08	2.05	1.91	32.70	2.27	0.21	0.63	0.00	0.50	0.92	0.73	0.82	6.69	0.31	0.40	0.18	0.18	1.16	1.94	1.92	1.15	0.08	6.66	0.20	119953	-35.25	0.2157	0.0040
2817	0.13	11.38	0.00	7.34	2.34	12.70	51.72	29.05	1.90	6.44	4.45	1.00	2.71	25.88	25.64	1.94	1.97	28.27	0.01	0.03	0.71	0.00	0.60	0.16	0.55	1.35	2.98	0.32	0.16	0.38	0.34	0.54	1.47	1.47	0.53	0.08	2.98	0.49	120090	-34.69	0.2336	0.0043
2829	0.11	7.89	0.00	1.07	3.04	20.57	55.85	31.73	1.34	10.63	3.22	1.24	3.51	29.20	28.80	2.24	1.94	30.45	5.27	0.02	0.39	0.00	0.05	0.16	0.53	0.76	5.38	0.24	0.58	0.11	0.16	0.13	2.10	2.12	0.17	0.10	5.43	0.95	123478	-37.39	0.1589	0.0027
2839	0.14	12.80	0.00	15.87	2.12	9.23	56.15	29.57	1.35	4.23	7.62	0.98	1.93	11.80	11.64	1.42	2.18	29.05	0.73	0.01	1.41	0.00	1.20	0.06	0.78	1.37	8.30	0.51	0.28	1.62	0.23	0.28	1.13	1.12	0.26	0.14	8.27	0.24	126953	-31.73	0.3566	0.0057
2850	0.14	11.15	0.00	14.65	1.83	9.02	57.97	25.05	0.16	3.76	6.93	0.82	1.68	10.75	10.61	1.23	2.40	24.60	0.47	0.01	0.52	0.00	1.40	0.24	0.50	2.25	3.30	0.06	0.09	0.67	0.18	0.06	0.58	0.58	0.07	0.12	3.29	0.25	129197	-32.08	0.3392	0.0050
2861	0.18	11.19	0.00	15.65	2.06	8.99	56.42	25.73	0.33	4.02	7.53	0.91	1.78	9.53	9.38	1.30	2.27	25.25	1.18	0.01	1.01	0.00	1.10	0.13	1.45	1.32	2.67	0.09	0.69	1.48	0.22	0.26	2.17	2.14	0.21	0.39	2.68	0.18	132287	-31.71	0.3576	0.0049
2873	0.39	8.73	0.08	7.27	2.30	34.08	62.50	71.63	2.61	19.60	6.64	3.16	10.41	91.40	90.65	8.08	1.77	69.26	5.95	0.10	0.53	0.18	2.41	0.58	5.64	6.02	15.02	0.62	4.32	1.22	0.48	1.25	20.12	19.95	0.84	0.16	14.51	1.34	137494	-36.68	0.1758	0.0022
2883	0.88	5.61	0.00	0.60	2.66	93.12	81.02	220.67	4.91	54.77	6.00	6.69	34.00	392.00	389.92	27.48	1.70	214.04	14.88	0.08	0.86	0.00	0.02	0.22	2.67	3.35	24.28	0.83	2.58	0.55	0.20	1.94	26.19	26.16	1.84	0.04	24.20	3.00	144267	-41.23	0.0918	0.0010
